-,CF,BD905,-,045,045.6,-,-,-,-,-,1.0
-,TF,BD955,-,002,002.4,7.1,-,-,-,-,1.0
-,TF,ROYAN,-,331,331.2,42.1,-,-,-,-,1.0
-,CF,BD905,-,045,045.6,-,-,-,-,-,1.0
-,TF,BD955,-,002,002.4,7.1,-,-,-,-,1.0
-,TF,ROVFU,-,002,002.3,5.7,-,-,-,-,1.0
-,TF,CNA,-,018,018.1,32.3,-,-,-,-,1.0
-,CF,BD905,-,045,045.6,-,-,-,-,-,1.0
-,TF,BD961,-,140,140.6,8.0,R,-,-,-,1.0
-,TF,BD963,-,140,140.7,8.5,-,-,-,-,1.0
-,TF,OBLOC,-,111,111.2,7.6,-,-,-,-,1.0
-,CF,BD905,-,045,045.6,-,-,-,-,-,1.0
-,TF,BD961,-,140,140.6,8.0,R,-,-,-,1.0
-,TF,VAVIX,-,198,198.0,35.0,-,-,-,-,1.0
