IF,ETPAR,-,-,-,-,-,-,-,-,-,-
TF,BD231,-,122,122.8,12.0,-,-,-,220,-,1.0
TF,IBD23,-,135,135.5,8.3,-,3000,4200,210,-,1.0
INA,IF,VAGNA,-,-,-,-,-,-,-,-,-,1.0
VAGNA,TF,IBD23,-,224,224.7,9.1,-,3000,4200,210,-,1.0
IF,LIBRU,-,-,-,-,-,-,-
INA,LIBRU,TF,BD232,-,272,272.6,7.2,-,-,-,220,-,1.0
TF,IDB23,-,315,315.6,7.8,-,3000,4200,210,-,1.0
IF,DIRAX,-,-,-,-,-,-,-,-,-,-
INA,DIRAX,TF,BD232,-,011,011.2,21.0,-,-,-,220,-,1.0
TF,IDB23,-,315,315.6,7.8,-,3000,4200,210,-,1.0
IF,IBD23,-,-,-,-,-,3000,4200,210,-,-
TF,FBD23,-,225,225.6,4.0,-,3000,3000,-,-,1.0
TF,RW23,Yes,225,225.6,8.8,-,-,-,-,-3.00°/,54,0.3
TF,BD230,Yes,225,225.5,4.1,-,-,4000,210,-,1.0
