IF,ETPAR,-,-,-,-,-,-,-,220,-,-
TF,BD111,-,186,186.4,14.9,-,3000,3000,220,-,1.0
TF,IBD11,-,196,196.3,4.7,-,2000,2000,190,-,1.0
IF,VAGNA,-,-,-,-,-,-,-,-,-,-
TF,BD111,-,250,250.1,25.5,-,3000,3000,220,-,1.0
TF,IBD11,-,196,196.3,4.7,-,2000,2000,190,-,1.0
IF,LIBRU,-,-,-,-,-,-,-,-,-,-
INA,TF,BD113,-,277,276.9,11.7,-,4000,4000,220,-,1.0
LIBRU,TF,BD111,-,276,276.7,18.8,L,3000,3000,220,-,1.0
TF,IBD11,-,196,196.3,4.7,-,2000,2000,190,-,1.0
IF,DIRAX,-,-,-,-,-,-,-,-,-,-
INA,TF,BD113,-,359,359.0,21.7,-,4000,4000,220,-,1.0
DIRAX,TF,BD111,-,276,276.7,18.8,L,3000,3000,220,-,1.0
TF,IBD11,-,196,196.3,4.7,-,2000,2000,190,-,1.0
IF,IBD11,-,-,-,-,-,2000,2000,190,-,-
TF,FBD11,-,106,106.3,4.0,-,2000,2000,-,-,1.0
TF,RW11,Yes,106,106.3,5.0,-,-,-,-,-3.40°/49,0.3
TF,BD110,Yes,106,106.4,2.0,-,-,3000,185,-,1.0
TF,BD114,-,173,173.6,12.2,-,5000,-,-,-,1.0
TF,DIRAX,-,071,071.0,10.7,L,-,-,220,-,1.0
